	bigram	bigram_freq	unigram1	unigram2	unigram1_freq	unigram1_pos	unigram2_freq	unigram2_pos	ftp	btp	log_bigram_freq	log_unigram1_freq	log_unigram2_freq	log_ftp	log_btp	bigram_freq_per_million	bigram_pct	ftp_pct	btp_pct
4	kleine meisje	4702.0	kleine	meisje	194165.0	ADJ	211215.0	N	0.02421651687997322	0.022261676490779536	8.455743229100015	12.176463592026055	12.260631851019525	-3.720720362926041	-3.8048886219195066	9.75037003919234	0.9992222501386304	0.8279711394472932	0.8276081136270818
5	vorige maand	4625.0	vorige	maand	54155.0	ADJ	56777.0	N	0.08540300987905088	0.08145904151328884	8.439231649946526	10.899605584269835	10.946886593125658	-2.460373934323312	-2.507654943179132	9.590697879894634	0.9992112858219632	0.9376049371511549	0.952398239324772
10	vuile klootzak	4366.0	vuile	klootzak	29883.0	ADJ	105199.0	N	0.14610313556202525	0.04150229564919818	8.38160253710989	10.305045035813276	11.563609073537144	-1.9234424987033865	-3.1820065364272563	9.053618798620537	0.9991680735150984	0.962880609883378	0.904070427009121
12	veilige plek	4272.0	veilige	plek	16091.0	ADJ	137907.0	N	0.26549002548008205	0.03097739781156867	8.35983738064003	9.68601538845915	11.834334823914395	-1.3261780078191194	-3.4744974432743647	8.858694344412946	0.9991527378042042	0.980396605708581	0.8742569315242547
15	diep adem	4220.0	diep	adem	41765.0	ADJ	33067.0	N	0.1010415419609721	0.1276196812532132	8.347590407030058	10.639813947190008	10.406291085199207	-2.2922235401599496	-2.0587006781691493	8.750863795276834	0.9991429200827441	0.9464083132912828	0.9719108771611381
16	speciaal agent	4213.0	speciaal	agent	32704.0	ADJ	163379.0	N	0.12882216242661448	0.02578666780920437	8.345930261979017	10.395252673563377	12.00382793417692	-2.04932241158436	-3.657897672197904	8.736348144431588	0.999141594332036	0.9583427871307346	0.8508417661206154
17	ware liefde	4187.0	ware	liefde	29918.0	ADJ	104064.0	N	0.13994919446487064	0.04023485547355474	8.339739766019143	10.306215584934408	11.552761373467428	-1.9664758189152631	-3.2130216074482845	8.682432869863533	0.9991371154445085	0.96183691065027	0.900712438172165
22	volle maan	4000.0	volle	maan	20389.0	ADJ	26181.0	N	0.19618421697974397	0.15278255223253506	8.294049640102028	9.922750818716974	10.172789235831422	-1.6287011786149466	-1.8787395957293933	8.29465762585482	0.9991031475615001	0.9727276852566139	0.9774923991468893
27	half miljoen	3930.0	half	miljoen	63000.0	ADJ	84490.0	N	0.062380952380952384	0.046514380400047343	8.276394704863307	11.05089000537367	11.344388463146892	-2.7744953005103627	-3.0679937582835834	8.14950111740236	0.9990898183922184	0.9175023823569451	0.9145981757952535
34	dezelfde manier	3814.0	dezelfde	manier	100929.0	ADJ	191128.0	N	0.03778894074052056	0.01995521326022352	8.246433786160365	11.522172578326893	12.160698639641854	-3.275738792166527	-3.914264853481492	7.9089560462525705	0.9990658115550712	0.8753913872124155	0.8119526251304624
35	mobiele telefoon	3785.0	mobiele	telefoon	8518.0	ADJ	107058.0	N	0.4443531345386241	0.035354667563376865	8.23880116587155	9.049936850483158	11.581126022659486	-0.8111356846116097	-3.342324856787935	7.848819778465122	0.9990593977881318	0.9905159504469755	0.8883241820574488
