	bigram	bigram_freq	unigram1	unigram2	unigram1_freq	unigram1_pos	unigram2_freq	unigram2_pos	ftp	btp	log_bigram_freq	log_unigram1_freq	log_unigram2_freq	log_ftp	log_btp	bigram_freq_per_million	bigram_pct	ftp_pct	btp_pct	len_unigram1	len_unigram2
12488	echt vader	75.0	echt	vader	946261.0	ADJ	479931.0	N	7.925931640424788e-05	0.00015627246416672396	4.31748811353631	13.760273708501105	13.081397622551053	-9.442785594964793	-8.763909509014741	0.15552483048477786	0.9723732901219821	0.14967600238073284	0.13871541021535572	4	5
13893	nodig mensen	68.0	nodig	mensen	676892.0	ADJ	675723.0	N	0.00010045915744313716	0.00010063295166806516	4.219507705176107	13.425267011842134	13.423538507735564	-9.205759306666028	-9.204030802559457	0.14100917963953194	0.9700654806190296	0.17523325313728613	0.09819894208280591	5	6
14942	goed zorgen	64.0	goed	zorgen	2029745.0	ADJ	261555.0	N	3.153105439353219e-05	0.0002446904092829424	4.1588830833596715	14.523420727364106	12.474399865419706	-10.364537644004427	-8.315516782060032	0.13271452201367712	0.9685319095296252	0.06623928041511933	0.19346807386978063	4	6
15026	echt naam	64.0	echt	naam	946261.0	ADJ	294628.0	N	6.763461666495819e-05	0.00021722307452109104	4.1588830833596715	13.760273708501105	12.593468822621892	-9.60139062514143	-8.43458573926222	0.13271452201367712	0.9685319095296252	0.13651910035124193	0.17753644449287875	4	4
15075	echt vriend	64.0	echt	vriend	946261.0	ADJ	277366.0	N	6.763461666495819e-05	0.00023074205201791142	4.1588830833596715	13.760273708501105	12.533093212660258	-9.60139062514143	-8.374210129300586	0.13271452201367712	0.9685319095296252	0.13651910035124193	0.18560075781073174	4	6
16266	echt jongen	60.0	echt	jongen	946261.0	ADJ	242244.0	N	6.340745312339828e-05	0.0002476841531678803	4.0943445622221	13.760273708501105	12.397700761644428	-9.665929146279002	-8.303356199422327	0.1244198643878223	0.9668006582603084	0.12963467487069436	0.19540870644055294	4	6
17200	dood vriend	57.0	dood	vriend	565277.0	ADJ	277366.0	N	0.00010083551957712768	0.0002055046400784523	4.043051267834549	13.245071155474445	12.533093212660258	-9.202019887639898	-8.490041944825709	0.11819887116843115	0.9653674142515192	0.1752458274304013	0.170704411900311	4	6
17828	gewoon dag	55.0	gewoon	dag	642151.0	ADJ	477241.0	N	8.564963692340275e-05	0.00011524575633694507	4.007333185232471	13.37257875750854	13.07577688336932	-9.36524557227607	-9.068443698136848	0.11405154235550374	0.9643354785651908	0.1567511379735269	0.1092454585844699	6	3
19458	zeker jongen	51.0	zeker	jongen	508673.0	ADJ	242244.0	N	0.00010026087486459869	0.00021053153019269828	3.9318256327243257	13.139560652932818	12.397700761644428	-9.207735020208492	-8.465875128920102	0.10575688472964896	0.9620465520520542	0.17505721303367397	0.17365517935133412	5	6
19998	nodig vader	49.0	nodig	vader	676892.0	ADJ	479931.0	N	7.238968698108415e-05	0.00010209800992225964	3.8918202981106265	13.425267011842134	13.081397622551053	-9.533446713731509	-9.189577324440426	0.10160955591672154	0.9607876980080344	0.14212304364956282	0.09943960567016791	5	5
20625	zeker tijd	48.0	zeker	tijd	508673.0	ADJ	635303.0	N	9.436317634315169e-05	7.555449919172427e-05	3.871201010907892	13.139560652932818	13.361857329421973	-9.268359642024928	-9.490656318514082	0.09953589151025784	0.9601234252410608	0.16812249038066576	0.07704688534759538	5	4
20920	zeker mensen	47.0	zeker	mensen	508673.0	ADJ	675723.0	N	9.239727683600268e-05	6.955512835880975e-05	3.8501476017100575	13.139560652932818	13.423538507735564	-9.289413051222759	-9.573390906025503	0.09746222710379412	0.959437402996254	0.16679380674149769	0.07146599491998558	5	6
20922	dood leven	47.0	dood	leven	565277.0	ADJ	636224.0	N	8.314507754605265e-05	7.387335278141032e-05	3.8501476017100575	13.245071155474445	13.363305981571814	-9.394923553764386	-9.51315837986176	0.09746222710379412	0.959437402996254	0.15465961388537275	0.07514816708720691	4	5
21191	goed verdomme	47.0	goed	verdomme	2029745.0	ADJ	225375.0	N	2.3155618070250204e-05	0.00020854132002218531	3.8501476017100575	14.523420727364106	12.325520960505619	-10.673273125654044	-8.47537335879556	0.09746222710379412	0.959437402996254	0.04141343437476423	0.17259055586758432	4	8
21694	dood jongens	46.0	dood	jongens	565277.0	ADJ	229679.0	N	8.137603334294516e-05	0.0002002795205482434	3.828641396489095	13.245071155474445	12.344437960901804	-9.41642975898535	-8.515796564412707	0.09538856269733044	0.9587172337129376	0.15230402964180031	0.16707672833658868	4	7
21751	beter meneer	46.0	beter	meneer	398149.0	ADJ	286646.0	N	0.00011553463653054507	0.00016047668552849158	3.828641396489095	12.894581586066213	12.566003283939498	-9.065940189577116	-8.737361887450401	0.09538856269733044	0.9587172337129376	0.18925358996068437	0.14163893336462935	5	6
22106	echt moeder	45.0	echt	moeder	946261.0	ADJ	386964.0	N	4.755558984254874e-05	0.00011628988743138896	3.80666248977032	13.760273708501105	12.866086944429176	-9.953611218730783	-9.059424454658854	0.09331489829086673	0.9579565036241724	0.10263976326797496	0.10991608755061152	4	6
22852	echt mannen	44.0	echt	mannen	946261.0	ADJ	212639.0	N	4.6498798957158754e-05	0.0002069234712352861	3.7841896339182615	13.760273708501105	12.267351171151965	-9.97608407458284	-8.483161537233705	0.09124123388440301	0.9571633105586084	0.10153741690487966	0.17178789682373355	4	6
