	bigram	bigram_freq	unigram1	unigram2	unigram1_freq	unigram1_pos	unigram2_freq	unigram2_pos	ftp	btp	log_bigram_freq	log_unigram1_freq	log_unigram2_freq	log_ftp	log_btp	bigram_freq_per_million	bigram_pct	ftp_pct	btp_pct	len_unigram1	len_unigram2
8	grote zorgen	479.0	grote	zorgen	282431.0	ADJ	261555.0	N	0.0016959894629130655	0.0018313547819770214	6.171700597410915	12.551189551947672	12.474399865419706	-6.3794889545367575	-6.302699268008787	0.9932852506961146	0.9941794527559058	0.5967801426763125	0.5393952603297818	5	6
99	gewoon werk	458.0	gewoon	werk	642151.0	ADJ	402672.0	N	0.0007132278856530629	0.0011374021536138595	6.1268691841141845	13.37257875750854	12.905877613754187	-7.245709573394357	-6.77900842964	0.9497382981603768	0.9939599872670604	0.44748136908903435	0.44751490053734144	6	4
145	snel geld	450.0	snel	geld	281378.0	ADJ	403546.0	N	0.0015992721534732635	0.0011151145098700023	6.1092475827643655	12.547454240080226	12.908045762672666	-6.438206657315862	-6.7987981799082995	0.9331489829086672	0.9938652856691796	0.586347670821772	0.4436378268268352	4	4
244	nieuwe hoofd	434.0	nieuwe	hoofd	263017.0	ADJ	188424.0	N	0.0016500834546816366	0.002303315925784401	6.073044534100405	12.479973947854175	12.1464500215462	-6.406929413753773	-6.073405487445796	0.8999703524052479	0.9936745208916096	0.5919180826717858	0.5812592735411725	6	5
275	lang vrienden	429.0	lang	vrienden	326843.0	ADJ	195977.0	N	0.001312556793322788	0.0021890323864535125	6.061456918928018	12.697235212259605	12.185752584388187	-6.635778293331586	-6.124295665460173	0.8896020303729294	0.9936124255949288	0.5526276081179636	0.5724027797570647	4	8
288	nieuwe stad	426.0	nieuwe	stad	263017.0	ADJ	167291.0	N	0.0016196671698027125	0.002546460957254126	6.054439346269372	12.479973947854175	12.027490089951073	-6.425534601584805	-5.973050743681703	0.8833810371535382	0.9935742654731948	0.5885293106772514	0.5999530559723701	6	4
319	andere ding	421.0	andere	ding	436252.0	ADJ	174537.0	N	0.000965038555697166	0.002412096002566791	6.042632833682381	12.985975337015484	12.069892032532461	-6.943342503333104	-6.0272591988500785	0.8730127151212197	0.9935102711282024	0.4987341878264077	0.5898517071698619	6	4
324	goede familie	419.0	goede	familie	279861.0	ADJ	207977.0	N	0.0014971718102915375	0.0020146458502622888	6.037870919922137	12.5420483303185	12.2451827756463	-6.5041774103963625	-6.2073118557241616	0.8688653863082924	0.9934840427628416	0.5755798844841605	0.5572088422429186	5	7
334	mooi moment	418.0	mooi	moment	293026.0	ADJ	165471.0	N	0.0014264945772730065	0.002526122402112757	6.035481432524756	12.588016621263654	12.016551231859179	-6.5525351887389025	-5.981069799334422	0.8667917219018286	0.9934711793978628	0.5667443478552447	0.5984399493675131	4	6
440	hele dagen	401.0	hele	dagen	341381.0	ADJ	178027.0	N	0.0011746406507684962	0.002252467322372449	5.993961427306568	12.740754434601044	12.089690503164412	-6.746793007294476	-6.0957290758578475	0.8315394269919456	0.9932361990426216	0.5339736442816306	0.5773821998306662	4	5
444	laatste beetje	400.0	laatste	beetje	260121.0	ADJ	257515.0	N	0.001537745895179551	0.0015533075743160592	5.991464547107983	12.468902186355214	12.458833249816506	-6.477437639247234	-6.467368702708522	0.8294657625854819	0.9932216157848324	0.5798551441433134	0.5080810790420065	7	6
469	andere vriend	396.0	andere	vriend	436252.0	ADJ	277366.0	N	0.0009077322281617047	0.0014277164468608267	5.9814142112544815	12.985975337015484	12.533093212660258	-7.004561125761005	-6.551679001405778	0.8211711049596271	0.9931594846570512	0.4884148846099035	0.49083334031905174	6	6
509	nodig meneer	389.0	nodig	meneer	676892.0	ADJ	286646.0	N	0.00057468547419677	0.0013570745797952875	5.963579343618448	13.425267011842134	12.566003283939498	-7.461687668223687	-6.602423940321053	0.8066554541143812	0.9930559327774162	0.41185001383172243	0.4813187918619175	5	6
607	grote werk	373.0	grote	werk	282431.0	ADJ	402672.0	N	0.001320676554627502	0.0009263122342750428	5.921578419643817	12.551189551947672	12.905877613754187	-6.629611132303858	-6.98429919411037	0.7734768236109619	0.9928045059471744	0.5536587001534063	0.4095698753468409	5	4
643	goede dagen	369.0	goede	dagen	279861.0	ADJ	178027.0	N	0.0013185116897316885	0.0020727193066220288	5.910796644040527	12.5420483303185	12.089690503164412	-6.631251686277973	-6.178893859123888	0.7651821659851071	0.9927358177280532	0.5533317685324123	0.5623894510063626	5	5
674	laatste zaak	365.0	laatste	zaak	260121.0	ADJ	162051.0	N	0.0014031931293513402	0.0022523773379985322	5.8998973535824915	12.468902186355214	11.99566637948555	-6.569004832772722	-6.095769025903058	0.7568875083592522	0.9926700676591501	0.5641288948872925	0.5773780083996278	7	4
690	nieuwe moeder	364.0	nieuwe	moeder	263017.0	ADJ	386964.0	N	0.00138394096199105	0.0009406559783339016	5.8971538676367405	12.479973947854175	12.866086944429176	-6.582820080217434	-6.968933076792432	0.7548138439527885	0.9926519371224388	0.5614505704537643	0.4123362198321751	6	6
