	bigram	bigram_freq	unigram1	unigram2	unigram1_freq	unigram1_pos	unigram2_freq	unigram2_pos	ftp	btp	log_bigram_freq	log_unigram1_freq	log_unigram2_freq	log_ftp	log_btp	bigram_freq_per_million	bigram_pct	ftp_pct	btp_pct	len_unigram1	len_unigram2
2373	goed materiaal	234.0	goed	materiaal	2029745.0	ADJ	14564.0	N	0.00011528541762635207	0.016067014556440537	5.455321115357702	14.523420727364106	9.586308009295324	-9.068099612006401	-4.130986893937623	0.4852374711125069	0.9893260227378428	0.1888239682792499	0.8718553788634515	4	9
2532	goed blaadje	226.0	goed	blaadje	2029745.0	ADJ	1071.0	N	0.00011134403582716057	0.2110177404295052	5.420534999272285	14.523420727364106	6.976348070447749	-9.102885728091817	-1.5558130711754632	0.4686481558607973	0.9889995297526408	0.18634264110452592	0.9926230813724422	4	7
2644	goed argument	220.0	goed	argument	2029745.0	ADJ	2577.0	N	0.00010838799947776693	0.08537058595265813	5.393627546352364	14.523420727364106	7.854381210652366	-9.12979318101174	-2.4607536643000034	0.4562061694220151	0.9887491778554056	0.1824865245492116	0.9744155049416972	4	8
2885	goed alibi	210.0	goed	alibi	2029745.0	ADJ	11904.0	N	0.0001034612722287775	0.017641129032258066	5.3471075307174685	14.523420727364106	9.384629757072872	-9.176313196646634	-4.037522226355405	0.435469525357378	0.9882981359658396	0.17771667602752933	0.8807118726475593	4	5
3358	goed motief	192.0	goed	motief	2029745.0	ADJ	11846.0	N	9.459316318059658e-05	0.016208002701333782	5.2574953720277815	14.523420727364106	9.37974553683691	-9.26592535533632	-4.122250164809128	0.39814356604103135	0.9873822930442232	0.1682272761566254	0.8726307936055528	4	6
3537	goed voorteken	186.0	goed	voorteken	2029745.0	ADJ	1187.0	N	9.163712683120292e-05	0.15669755686604886	5.225746673713202	14.523420727364106	7.079184394609668	-9.2976740536509	-1.8534377208964667	0.3857015796022491	0.987046340648563	0.1645639654290768	0.9884400331961338	4	9
3577	goed bod	185.0	goed	bod	2029745.0	ADJ	7002.0	N	9.1144454106304e-05	0.02642102256498144	5.220355825078324	14.523420727364106	8.853951101514609	-9.303064902285778	-3.633595276436286	0.3836279151957854	0.9869876134753028	0.16387447502326244	0.9150857985933557	4	3
3599	goed politiewerk	184.0	goed	politiewerk	2029745.0	ADJ	2238.0	N	9.065178138140504e-05	0.08221626452189455	5.214935757608987	14.523420727364106	7.71333788887187	-9.308484969755117	-2.498402131262885	0.3815542507893217	0.9869285996532412	0.1628664358585308	0.97316226706122	4	11
3879	goed voorstel	176.0	goed	voorstel	2029745.0	ADJ	16089.0	N	8.671039958221352e-05	0.010939150972714277	5.170483995038151	14.523420727364106	9.685891087651036	-9.352936732325947	-4.5154070926128815	0.3649649355376121	0.9864217687406328	0.15817622452657787	0.8301569271780771	4	8
3925	goed plekje	175.0	goed	plekje	2029745.0	ADJ	7849.0	N	8.621772685731459e-05	0.02229583386418652	5.1647859739235145	14.523420727364106	8.968141414126814	-9.358634753440587	-3.8033554402032994	0.3628912711311483	0.9863584551865446	0.15786605862973738	0.9013462876495293	4	6
